Name,Website,Awwwards Profile,Qualité,Email,Date mail 1,Réponse,Réponse finale,Langue,Tech,Lien candidature / source,Commentaire,Mail envoyé
Positioner - Hotel Agency,http://www.positioner.com/,https://www.awwwards.com/positioner/,15,matteo.bianda@positioner.com,14/01/2026,,,EN/GE,Microsoft ASP.NET // Umbraco,,,
ESE Agency,https://eseagency.ch/,https://www.awwwards.com/eseagency/,18,bewerbung@eseagency.ch,14/01/2026,,,EN/GE,gsap / webflow,,,
Favorit Studio,http://favorit.studio/,https://www.awwwards.com/favorit.studio/,15,sj@favorit.studio,14/01/2026,,,EN/GE,nuxt / vue,,,
EWM. SA,https://www.ewm.swiss/,https://www.awwwards.com/EWM/,15,career@ewm.swiss,14/01/2026,,,EN/GE,concrete cms ( php ) ,,,
Visioned,https://visioned.ch/,https://www.awwwards.com/Visioned/,18,hello@visioned.ch,14/01/2026,,,EN/GE,"sans rien , à l'ancienne, jquery",,,
spotheroz,http://www.spotheroz.ch/,https://www.awwwards.com/spotheroz/,15,hello@spotheroz.ch,14/01/2026,,,EN/GE,webflow,,,
Gridonic,https://gridonic.ch/,https://www.awwwards.com/Gridonic/,16,Gridonic Hello,14/01/2026,,,EN/GE,nuxtjs / gsap ,,,
AllThatJazz,https://allthatjazz.ltd/,https://www.awwwards.com/allthatjazz/,15,info@allthatjazz.ltd,14/01/2026,,,EN/GE,webflow,,,
neofluxe,https://www.neofluxe.com/fr/,https://www.awwwards.com/neofluxe/,15,hello@neofluxe.com,14/01/2026,,,EN/GE,wordpress,,,
amestha,https://www.amestha.ch/,https://www.awwwards.com/amestha/,15,hello@amestha.ch,14/01/2026,,,EN,xhtml bizarre,,,
Adaptis,https://adaptis.io/,https://www.awwwards.com/adaptis/,15,hello@adaptis.io,14/01/2026,FALSE,,EN,nextjs ,,,
floid,https://floid.ch/,https://www.awwwards.com/floidcreative/,,contact@floid.ch,14/01/2026,FALSE,,EN,wordpress,,,
IDÉATIVE INTELLIGENCE DIGITALE,https://www.ideative.ch/,https://www.awwwards.com/ideativeintelligencedigitale/,12,hello@ideative.ch,14/01/2026,FALSE,,EN,nextjs / react,,,
Say Social,https://say.social/,https://www.awwwards.com/SaySocial/,20,https://saysocial.homerun.co/open-application/en/apply?&step=4,13/01/2026,,"by mail, complete and cool application :d",EN/GE,nextjs / react,,,
Pulsenova,https://www.pulsenova.ch/,https://www.awwwards.com/pulsenova/,15,"( via contact form, à faire ) ",14/01/2026,FALSE,,EN,next,,,
